ISO3,eng_f1_cc,eng_f1_tw,eng_unique,spa_f1_cc,spa_f1_tw,spa_unique,fra_f1,fra_unique,rus_f1,rus_unique,ara_f1,deu_f1,por_f1
ago,,,,,,,,,,,,,0.99
are,,,,,,,,,,,1,,
arg,,,,0.94,0.87,-0.02,,,,,,,
aus,0.97,0.83,-0.16,,,,,,,,,,
aut,,,,,,,,,,,,0.95,
aze,,,,,,,,,0.94,0.36,,,
bel,,,,,,,0.9,-0.1,,,,,
bfa,,,,,,,0.98,-0.03,,,,,
bgr,,,,,,,,,1,0.84,,,
blr,,,,,,,,,0.97,0.47,,,
bra,,,,,,,,,,,,,1
can,0.94,0.81,-0.22,,,,,,,,,,
che,0.96,0.97,0.05,,,,0.93,-0.32,,,,0.94,
chl,,,,0.98,0.97,0.03,,,,,,,
cmr,,,,,,,1,0.25,,,,,
col,,,,0.95,0.94,0,,,,,,,
cpv,,,,,,,,,,,,,0.98
cri,,,,1,0.89,0.18,,,,,,,
cub,,,,0.97,0.98,0.06,,,,,,,
deu,,,,,,,,,,,,0.92,
dza,,,,,,,0.99,0.07,,,0.98,,
ecu,,,,0.96,0.98,0.23,,,0.97,0.23,,,
egy,,,,,,,,,,,0.99,,
esp,,,,0.94,0.95,-0.24,,,,,,,
est,,,,,,,,,0.87,0.15,,,
fra,,,,,,,0.93,-0.49,,,,,
gbr,0.95,0.89,-0.25,,,,,,,,,,
geo,,,,,,,,,0.95,0.32,,,
grd,,,,,,,0.93,-0.02,,,,,
gtm,,,,0.96,0.95,0.13,,,,,,,
hnd,,,,0.94,0.93,0.04,,,,,,,
hti,,,,,,,,,0.99,0.35,,,
ind,0.97,0.97,-0.01,,,,,,,,,,
irl,0.97,0.95,-0.14,,,,,,,,,,
irq,,,,,,,,,,,0.97,,
jor,,,,,,,,,,,0.97,,
kaz,,,,,,,,,0.94,0.23,,,
kgz,,,,,,,,,0.99,0.35,,,
kwt,,,,,,,,,,,0.95,,
ltu,,,,,,,,,0.94,0.23,,,
lux,,,,,,,0.96,-0.26,,,,0.96,
lva,,,,,,,,,0.91,0.26,,,
mda,,,,,,,,,0.97,0.67,,,
mex,,,,0.93,0.93,0.1,,,,,,,
mys,0.96,0.99,-0.05,,,,,,,,,,
ncl,,,,,,,0.95,-0.08,,,,,
nga,0.98,0.94,0.02,,,,,,,,,,
nic,,,,0.89,0.98,0.12,,,,,,,
nzl,0.91,0.91,-0.18,,,,,,,,,,
pak,0.99,0.98,0.14,,,,,,,,,,
pan,,,,0.98,0.95,0.32,,,,,,,
per,,,,0.93,,0.25,,,,,,,
phl,0.98,0.98,-0.06,,,,,,,,,,
pol,,,,,,,,,,,,0.98,
prt,0.98,0.92,0.13,,,,,,,,,,0.99
pry,,,,0.95,0.93,-0.05,,,,,,,
pse,,,,,,,,,,,1,,
pyf,,,,,,,0.97,-0.03,,,,,
qat,,,,,,,,,,,1,,
reu,,,,,,,0.95,-0.36,,,,,
rus,,,,,,,,,0.9,0.56,1,,
sen,,,,,,,0.98,-0.15,,,,,
slv,,,,0.95,0.93,0.15,,,,,,,
svn,,,,,,,,,1,0.17,,,
syr,,,,,,,,,,,0.97,,
tjk,,,,,,,,,0.96,0.04,,,
tun,,,,,,,0.98,0.05,,,,,
ukr,,,,,,,,,0.94,0.23,,,
ury,,,,0.92,0.86,-0.04,,,,,,,
usa,0.94,0.87,-0.46,,,,,,,,,,
uzb,,,,,,,,,0.92,0.36,,,
ven,,,,0.98,0.93,0.19,,,,,,,
zaf,0.95,0.93,0.06,,,,,,,,,,