,Country,ara,aze,bel,bul,cat,ces,dan,deu,ell,eng_expanding,eng_inner,eng_outer,est,fas,fin,fra,gle,hbs,hin,hun,ind,isl,ita,jpn,kat,kaz,kor,lav,lit,mkd,mon,nld,nor,pol,por,ron,rus,slk,slv,spa,sqi,swe,tam,tgl,tur,ukr,urd,uzb,vie,zho,iso3
0,Albania,82218.0,16967.0,28437.0,,,,,324451.0,186779.0,10705449.0,,,,127922.0,,178393.0,,53271.0,,,,,1106511.0,178727.0,,,49480.0,,,,,,,,238698.0,,129326.0,,,53615.0,96757919.0,,,,2268018.0,,,,,,ALB
1,Algeria,11533390.0,,,,,,,,,1861029.0,,,,,,18642274.0,,,,,,,,88410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,DZA
2,Austria,403001.0,,,599427.0,,1229978.0,202283.0,203244953.0,124863.0,31107425.0,,,14131.0,1508359.0,72577.0,6729694.0,,2103888.0,,980112.0,97344.0,,4436924.0,1844919.0,,,323026.0,,25637.0,110730.0,,2148576.0,196368.0,1508950.0,726495.0,405083.0,1433468.0,417991.0,894808.0,6203512.0,308569.0,400983.0,,,1967169.0,142980.0,,,129893.0,1252496.0,AUT
3,Azerbaijan,3425790.0,199350988.0,,,,,,4232713.0,,31106771.0,,,,321228.0,,3104878.0,,,,,161277.0,,107855.0,936231.0,33483.0,,84226.0,,,,,,,47778.0,337955.0,,85980638.0,,,992357.0,,,,,5277891.0,,,32360.0,,2232629.0,AZE
4,Bahrain,4524743.0,,,,,,,,,1818148.0,,,,,,35546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34525.0,BHR
5,Belarus,32665.0,54371.0,68657241.0,184116.0,,43726.0,,1265825.0,,31107450.0,,,15289.0,,,1163004.0,,333692.0,,,,,163507.0,1114400.0,,,35128.0,,33705.0,,,,637236.0,1739169.0,143439.0,,187762308.0,,59690.0,2336343.0,,,,,43556.0,1006026.0,,,,598532.0,BLR
6,Belgium,664672.0,,,460458.0,146020.0,282323.0,389733.0,19154597.0,3694975.0,31106646.0,,,158866.0,273867.0,233066.0,354453318.0,,1284680.0,,1230550.0,1233915.0,,6630973.0,32625299.0,,,182488.0,,128439.0,21082.0,,512382680.0,306625.0,3912427.0,6841104.0,1092164.0,1917577.0,,38007.0,18064929.0,31879.0,1241214.0,,,2659897.0,,,,321371.0,1822568.0,BEL
7,Belize,137616.0,,,117564.0,,349192.0,43810.0,3790238.0,97075.0,29150749.0,,,,284198.0,,799769.0,,36735.0,39258.0,,1570588.0,,5240441.0,30315802.0,,,431390.0,,,,,185107.0,756705.0,35387.0,297220.0,377967.0,9708262.0,80692.0,,11663561.0,,105624.0,,,127948.0,1028249.0,,,519266.0,1122440.0,BLZ
8,Bosnia and Herzegovina,28549.0,,,,,,,511319.0,,20935263.0,,,,,,211217.0,,204193216.0,,,26474.0,,156432.0,460041.0,,,,,,7455.0,,,,103501.0,1714624.0,15183.0,49301.0,24151.0,37870.0,69491.0,,,,,639815.0,,,,,,BIH
9,Bulgaria,305561.0,,,1082394087.0,,92330.0,,923754.0,458031.0,31107408.0,,,,,18245.0,936565.0,,446271.0,,22239.0,38838.0,,363397.0,73415.0,,,,,,286883.0,,86850.0,,593085.0,80927.0,836901.0,3733339.0,,61851.0,659455.0,367512.0,42160.0,,,463119.0,80691.0,,,,1532223.0,BGR
10,Burundi,27531.0,,,,,,,,,4150943.0,,,,,,5752426.0,,,,,,,,124123.0,,,,,,,,,,,,,,,260783.0,70426.0,,,,,,,,,,48068.0,BDI
11,Canada,4643053.0,,,1027944.0,595491.0,464520.0,,4587546.0,2417171.0,,510575233.0,,1660697.0,4247259.0,805766.0,354453440.0,,2303236.0,241235.0,457667.0,1745691.0,,7832027.0,21517609.0,,,1612502.0,,,935705.0,,1914075.0,1421416.0,3813953.0,10034997.0,1960528.0,12573193.0,222876.0,,36805057.0,,1419778.0,,,1195715.0,1288978.0,181904.0,,12096426.0,39445989.0,CAN
12,Central_African_Republic,351886.0,,,52054.0,46891.0,439612.0,586779.0,5710457.0,199756.0,31106725.0,,,17158.0,365554.0,1582090.0,17271480.0,,121048.0,84399.0,80863.0,3517838.0,,5860000.0,7586855.0,,,344823.0,,,,,224009.0,152721.0,202494.0,1192126.0,200467.0,45150318.0,126379.0,32067.0,3424466.0,,1512455.0,,,524232.0,387033.0,,,1565352.0,3421255.0,CAF
13,China,3096887.0,,102688.0,835325.0,273892.0,723862.0,341915.0,2764408.0,520486.0,31107238.0,,,143959.0,689393.0,343381.0,3047726.0,279219.0,837642.0,861225.0,805837.0,1073644.0,,1764447.0,25672279.0,,,2123825.0,145681.0,246571.0,,324142.0,560714.0,355027.0,873207.0,2901034.0,661140.0,3456704.0,191936.0,223531.0,3382251.0,823907.0,435448.0,266503.0,594609.0,1091125.0,420888.0,153345.0,,1463411.0,1441636590.0,CHN
14,Colombia,70210305.0,1983216.0,,1085913.0,236053.0,6021804.0,25103738.0,,1977209.0,31107001.0,,,415638.0,25271095.0,9331634.0,96154377.0,258082.0,12360245.0,5037135.0,2126918.0,119438324.0,,20286312.0,139483819.0,,,6773558.0,111844.0,177853.0,135109.0,,9104253.0,36377643.0,12266639.0,27327295.0,9875302.0,58037846.0,291347.0,271283.0,191930750.0,1512418.0,18616169.0,1312290.0,787890.0,35064966.0,4158896.0,469801.0,14952.0,22683680.0,60628059.0,COL
15,Cuba,1311564.0,,,,,,,2610433.0,,,,10864790.0,,,,3867351.0,,,,,,,3979577.0,,,,,,,,,,,,3219973.0,,1025432.0,,,191929975.0,,,,,,,,,,,CUB
16,Czechia,290477.0,,,296374.0,,971389463.0,,9573717.0,109733.0,31107125.0,,,95807.0,,84520.0,6495276.0,,,,656059.0,546367.0,79991.0,9480915.0,3719384.0,,,,,30201.0,,,632752.0,,3656192.0,499896.0,95393.0,7009049.0,40667811.0,43019.0,2947209.0,,157082.0,72430.0,,,237836.0,,,1193221.0,3514048.0,CZE
17,Denmark,2896755.0,,,,,187674.0,1040866144.0,15398230.0,253064.0,31106654.0,,,98973.0,226842.0,480499.0,7829740.0,,,,98184.0,192628.0,139991.0,3202197.0,4190362.0,,,207206.0,,66043.0,,,1787390.0,10300870.0,1513834.0,880000.0,490314.0,1048431.0,25880.0,,4558614.0,1283778.0,7975964.0,235689.0,,558322.0,,,,697379.0,2351143.0,DNK
18,Djibouti,1468411.0,,,13141.0,,,,153159.0,77554.0,4410344.0,,,,,11097.0,1257772.0,,,24392.0,59819.0,289426.0,,173813.0,802700.0,,,,,6776.0,,9922.0,61879.0,,84800.0,750359.0,67211.0,120835.0,,,353592.0,9883.0,,4845.0,16111.0,639423.0,,,,36330.0,55018.0,DJI
19,Dominican_Republic,31061.0,5084.0,,4689.0,,48804.0,,112845.0,,7762483.0,,,,,,134491.0,,,,252959.0,98553.0,,69725.0,1789697.0,,,44396.0,,6559.0,,,35752.0,,162614.0,976847.0,,1650776.0,,,33500854.0,,,,,103081.0,,,,1185363.0,293295.0,DOM
20,Egypt,2465722.0,,,,,,,29724.0,,949341.0,,,,,,46281.0,,,,,,,14333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19990.0,EGY
21,Ethiopia,21219.0,,,,,,,,,164748.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ETH
22,Finland,464180.0,,,,,80188.0,267623.0,4493498.0,125069.0,31107142.0,,,1133172.0,658658.0,1066791906.0,7790173.0,,,,71812.0,86732.0,,3654690.0,3490472.0,,,93226.0,63046.0,62199.0,,,726609.0,201680.0,701018.0,2385905.0,,5290007.0,,8246.0,6336349.0,21555.0,66333974.0,,,230281.0,,,,153292.0,1183497.0,FIN
23,France,5470479.0,,,,2802129.0,568460.0,585538.0,17120739.0,1611724.0,31107111.0,,,584938.0,1138884.0,872378.0,354453168.0,,,,353290.0,1213410.0,,19521420.0,8226107.0,,,,,256962.0,,,6684766.0,689281.0,3781703.0,13221475.0,831771.0,3606619.0,,,70416765.0,179275.0,3094153.0,,,1871391.0,,,,8119238.0,4633407.0,FRA
24,Gabon,783500.0,,,,95710.0,246494.0,238462.0,6240223.0,795223.0,31107133.0,,,,369191.0,2293808.0,20321546.0,,,28586.0,,6442466.0,,5173056.0,2605749.0,,,1883911.0,,,,,461347.0,368230.0,313799.0,1323045.0,126655.0,51583074.0,271844.0,,8382226.0,,3747392.0,,,618723.0,579675.0,,33862.0,1066832.0,3439204.0,GAB
25,Georgia,36074.0,982642.0,,,,21350.0,,268153.0,25552.0,31106985.0,,,,54579.0,,244771.0,,,,,,,77036.0,865439.0,135967532.0,,135458.0,,,,,22958.0,,57651.0,27336.0,,7565676.0,,,127339.0,,,,,90584.0,36885.0,,,,202955.0,GEO
26,Germany,2536877.0,,,526970.0,274852.0,869195.0,781868.0,203244754.0,1475524.0,31106731.0,,,113209.0,873841.0,677362.0,13984951.0,30530.0,,,697940.0,756392.0,,8161698.0,4306176.0,,,477343.0,,57617.0,,,3945883.0,231269.0,5895813.0,4293345.0,901204.0,9219637.0,,100137.0,22620473.0,1045002.0,944722.0,,,7145538.0,,376681.0,,2897474.0,2857719.0,DEU
27,Greece,306897.0,,,551898.0,86173.0,104982.0,74550.0,4153230.0,1085797040.0,31106616.0,,,111664.0,,238515.0,4876712.0,,,12491.0,143471.0,143347.0,,2634652.0,1261516.0,,,,336401.0,75667.0,,,1214850.0,522652.0,646526.0,1664665.0,626815.0,6669648.0,204122.0,,6637565.0,562129.0,361095.0,,,1048007.0,,,,,6150999.0,GRC
28,Grenada,1310922.0,,,,,,,121828.0,,6904421.0,,,,,,8295115.0,,,,,8881.0,,,,,,,,,,,,,1073200.0,96270.0,,56091.0,,,175638.0,19300.0,,,,,,,,,695582.0,GRD
29,Honduras,4876.0,,,,,,,1051818.0,,739121.0,,,,,,,,,,,,,,117687.0,,,,,,,,,,,,,55123.0,,,68521146.0,,,,,,,,,,,HND
30,Hong_Kong,22316.0,,,,30682.0,39000.0,,302638.0,,,,179174610.0,,,90227.0,958625.0,,,,27646.0,316586.0,,400197.0,7188423.0,,,152722.0,,,,,258873.0,26997.0,126826.0,553285.0,,6847432.0,,,1925868.0,,,,,55917.0,,,,300518.0,59220140.0,HKG
31,Iceland,284202.0,6978.0,,59886.0,20529.0,186755.0,691527.0,2840840.0,,31107238.0,,,24416.0,44464.0,141582.0,1607701.0,,,234388.0,67238.0,240600.0,178240680.0,6248618.0,11811092.0,,,498693.0,83642.0,82490.0,,,271154.0,364420.0,1187246.0,692808.0,69429.0,4894389.0,,,4416614.0,18327.0,1216714.0,,141203.0,148731.0,237418.0,,,,2374592.0,ISL
32,India,7244897.0,,,661241.0,50241.0,1597782.0,353143.0,8272470.0,,,,764110392.0,49512.0,18639377.0,473975.0,9531601.0,,,218026858.0,229994.0,18731352.0,,3349025.0,61137137.0,308713.0,,877541.0,,1096525.0,,,2491011.0,669420.0,5483070.0,11616330.0,1731505.0,47945352.0,552815.0,273137.0,19018599.0,90782.0,482435.0,67753211.0,81464.0,8488077.0,3768640.0,4421811.0,35298.0,2229563.0,23730753.0,IND
33,Indonesia,91292.0,,,,,,,86769.0,,18634498.0,,,,,,64159.0,,,,,192763504.0,,,335885.0,,,118596.0,,,,,47203.0,,,80600.0,,79666.0,,,70665.0,,,,,,,,,,,IDN
34,Iran,28425050.0,1215047.0,,,,,,1235346.0,,31106641.0,,,,1007892000.0,,3189082.0,,,612993.0,,278046.0,,1699826.0,2390735.0,,,,,,,,,988730.0,,557672.0,,2164405.0,,,1350338.0,,,,,999139.0,,2409379.0,,,1798445.0,IRN
35,Iraq,4497374.0,,,,,,,,,554987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49580.0,,,,,,IRQ
36,Ireland,165313.0,,,,200149.0,54558.0,294768.0,1612355.0,,,510575143.0,,,,343548.0,3326136.0,20775810.0,,,41318.0,140137.0,,1825556.0,,,,,555714.0,237647.0,,,522100.0,52044.0,7990454.0,1659332.0,367988.0,580200.0,101431.0,,18043236.0,,517216.0,,,,,,,,,IRL
37,Italy,1218190.0,,,299881.0,327267.0,343425.0,559365.0,23282792.0,,31107050.0,,,28191.0,,373648.0,29410016.0,,,82677.0,179239.0,740075.0,,852614715.0,31228096.0,,,,,44667.0,,,2603216.0,257727.0,3763536.0,5096068.0,1024866.0,5491115.0,,344372.0,21913749.0,235037.0,717934.0,,19830.0,317020.0,,,,114045.0,,ITA
38,Jordan,8638264.0,,,,,,,,,4288660.0,,,,,,,,,,,,,,159682.0,,,,,,,,,,,,,,,,,,,,,,,,,,,JOR
39,Kazakhstan,672798.0,118342.0,212363.0,80808.0,,43578.0,,562669.0,,31106932.0,,,,,,599999.0,,,,,51899.0,,,762578.0,,92116278.0,,,,,,,,246029.0,75277.0,67808.0,187762812.0,,,312450.0,,55729.0,,,596158.0,1278449.0,,241239.0,,452017.0,KAZ
40,Kyrgyzstan,72995.0,,,,,,,37442.0,,4653364.0,,,,,,47165.0,,,,,,,,153495.0,,,,,,,,,,,,,127637909.0,,,,,,,,240919.0,78653.0,,,,138552.0,KGZ
41,Latvia,41164.0,,,,,,,1196302.0,,31107055.0,,,379733.0,,147405.0,444143.0,,,,16194.0,78640.0,,,3615166.0,,,,276733357.0,662512.0,,,28173.0,176907.0,306008.0,50681.0,,123006868.0,,22704.0,350143.0,,93163.0,,,17687.0,216749.0,,,,195728.0,LVA
42,Liechtenstein,49114.0,,,771870.0,,26180.0,,16476858.0,,30938426.0,,,,,367551.0,702411.0,,,,111111.0,150262.0,,,1694995.0,,,,,,,,3985073.0,,638916.0,73117.0,,13172886.0,,,43492007.0,25531.0,,,,289969.0,365845.0,,,,2414468.0,LIC
43,Lithuania,992036.0,,,39954.0,,89116.0,,2427515.0,,31106726.0,,,229737.0,,64850.0,2322388.0,,,,35743.0,799205.0,,,6339695.0,,,831212.0,2549905.0,1093178766.0,,,301466.0,97051.0,19185956.0,1414209.0,31531.0,46435734.0,26437.0,24808.0,1545610.0,35105.0,98848.0,,,78846.0,114827.0,,27379.0,264069.0,452590.0,LTU
44,Malaysia,253364.0,,,,,,,177824.0,,,,144595569.0,,403803.0,94032.0,109554.0,,,,,10567311.0,,,2498455.0,,,,,,,,86170.0,,297223.0,146230.0,,345776.0,,,199611.0,,,201112.0,,9350.0,,73496.0,9495.0,49209.0,70080602.0,MYS
45,Mali,1112569.0,,,63775.0,,60084.0,123906.0,2758147.0,,31107420.0,,,,1246957.0,,10188683.0,,,,46370.0,2841581.0,,,1503139.0,,,719980.0,,,,,222242.0,159954.0,164220.0,1357789.0,134518.0,28574836.0,,,5265607.0,,76493.0,,,334777.0,849475.0,,,368443.0,2543635.0,MLI
46,Mauritius,15138.0,,,13890.0,,81194.0,,219785.0,,12641275.0,,,,,31631.0,9690773.0,,,,121707.0,150561.0,,,33106153.0,,,,,,,,10781.0,,119430.0,100416.0,,3184562.0,,,122292.0,,54570.0,,,8224.0,24890.0,,,,41234.0,MUS
47,Mexico,516779.0,,,,609632.0,119481.0,,2594026.0,,31106871.0,,,,,72346.0,4152369.0,,,,117289.0,301628.0,,,1317383.0,,,,,,,,131066.0,,531398.0,5951675.0,113146.0,413313.0,,,191930171.0,,746208.0,,,91203.0,,,,,,MEX
48,Morocco,78749159.0,21194.0,,,,,,89989.0,,11863533.0,,,,,,97892151.0,,,58227.0,20328168.0,223041.0,,,977536.0,,,,,,,,77095.0,,,27872.0,,1272233.0,,,1431702.0,,,,,,4612712.0,,,,922772.0,MAR
49,Netherlands,1636409.0,,,446586.0,137241.0,950369.0,995243.0,16606946.0,,31106603.0,,,58512.0,283251.0,465043.0,10214579.0,,,,1511512.0,1012523.0,,,7854734.0,,,,,43125.0,,,512382065.0,411221.0,4747877.0,6417784.0,812257.0,5303214.0,,41071.0,10764806.0,,1584721.0,,,2658684.0,,,,575430.0,6244098.0,NLD
50,Norfolk_Island,85585.0,,,54094.0,,,,2116564.0,,2185088.0,,,,,,1642516.0,,,,,48435.0,,,98558.0,,,,,,,,73052.0,,50656.0,100411.0,,261516.0,,,83251.0,,,,,65326.0,,,,,162813.0,NFK
51,Norway,563412.0,,,,,183360.0,11808521.0,3358199.0,,31106830.0,,,56725.0,132598.0,818960.0,3084223.0,,,,370342.0,201437.0,1279898.0,,1184273.0,,,,,218462.0,,,2658949.0,1036277283.0,3037925.0,2603043.0,63358.0,980424.0,107883.0,20223.0,3882863.0,66273.0,11859343.0,,,199111.0,,246090.0,,1892869.0,1332405.0,NOR
52,Oman,5508084.0,,,,,,,,,4829042.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OMN
53,Pakistan,113700.0,3065.0,,,,26100.0,,50605.0,,,,149237210.0,,47333.0,,258955.0,,,,,34048.0,,,696927.0,,,58590.0,,,,,460691.0,,72193.0,137480.0,,287586.0,,,278643.0,29777.0,79770.0,28419.0,,81250.0,,35726464.0,,,55730.0,PAK
54,Palau,1209090.0,,,102483.0,222464.0,45449.0,371274.0,37657845.0,,31106754.0,,,17013.0,1017495.0,365272.0,6302029.0,,,33227.0,61511.0,2690778.0,,,35447966.0,60787.0,,142393.0,,27459.0,,,2391432.0,237910.0,1640756.0,2815505.0,76824.0,27859449.0,,28998.0,3226782.0,113004.0,1566330.0,,,1483219.0,656232.0,,,868772.0,72900369.0,PLW
55,Palestine,97161325.0,,,,,,,107940.0,,8523644.0,,,,,,69401.0,,,,,,,,,,,,,,,,,,,,,,,,78829.0,,,,,9092.0,,,,,,PSE
56,Portugal,394154.0,,,559233.0,187373.0,102055.0,179943.0,3072678.0,,31106771.0,,,29554.0,,287665.0,8712385.0,,,,455241.0,203161.0,,,5344845.0,,,228986.0,,13851.0,,,2474492.0,715402.0,949208.0,1537486965.0,767836.0,11113702.0,110479.0,,19968237.0,,1400203.0,,,246622.0,280082.0,,,132750.0,2575564.0,PRT
57,Qatar,10783360.0,,,,,,,18882.0,,27463034.0,,,,,,672300.0,,,,8343.0,15027.0,,,,,,,,,,,,,,156111.0,,,,,65907.0,,,92034.0,,11408.0,,,,,12752.0,QAT
58,Romania,402333.0,,,253531.0,,115653.0,,5071765.0,,31106982.0,,,,,87610.0,3957758.0,,,,31613909.0,493624.0,,,6696642.0,,,,,108346.0,,,624425.0,385642.0,499174.0,1689120.0,919852120.0,1967422.0,51637.0,78054.0,6110983.0,,109063.0,,,497252.0,,,,64816.0,,ROU
59,Russia,585982.0,206292.0,1195192.0,907865.0,161155.0,540401.0,108183.0,25268644.0,,31107479.0,,,90405.0,267204.0,378485.0,22102930.0,,,334679.0,133013.0,418678.0,,,6478546.0,384309.0,2305629.0,41113.0,214345.0,302497.0,156187.0,51144.0,200520.0,925822.0,1500754.0,2770914.0,585544.0,187762682.0,117142.0,1532861.0,5686504.0,59652.0,258652.0,,274846.0,656626.0,27419146.0,,161063.0,668894.0,1390510.0,RUS
60,Sao_Tome,21083999.0,15730.0,,151204.0,43178.0,129704.0,,1976290.0,,20234524.0,,,,361737.0,28928.0,4296654.0,,,,372228.0,649637.0,,,15123884.0,,13475.0,64918.0,,279672.0,,,151509.0,,1412278.0,3131607.0,388001.0,1275281.0,51775.0,10616.0,1606040.0,441632.0,483326.0,,23891.0,7046469.0,10967.0,128172.0,,6769019.0,503463.0,STP
