,iso3,facebook_opt-350m,facebook_opt-1.3b,facebook_opt-2.7b,bigscience_bloom-560m,bigscience_bloom-1b7,bigscience_bloom-3b
0,AND,-0.059222745878506,0.2583990703210445,0.4235922192622605,-0.241489739174657,-0.2186558315185894,-0.105713287003293
1,AFG,-0.1399712581170882,-0.3505913400925714,-0.4462392509125103,-0.0397984953880481,0.1851420528667375,0.1668333845792268
2,ARM,-0.617728879448824,-0.7292630893838357,-0.7421551283217415,-0.2337773349684213,-0.5956475265872676,-0.5954571455223558
3,AGO,0.0517456492465203,0.4308478424655566,0.5401572398178766,-0.1700940689896777,0.1415712836621052,0.1972016655332354
4,ARG,-0.7795410384955559,-0.6121142557355368,-0.5364172643002263,-0.1733401879201197,-0.4549421631760809,-0.4166358823222393
5,AUT,0.055377003209926,0.2688426257924297,0.3439583634883973,-0.2320362214768569,-0.2224170302295954,-0.1561459643157604
6,AUS,-0.3718088515277989,-0.2327848960175449,-0.2322099238944732,-0.2426558852255017,-0.3668621446001691,-0.3425231376657812
7,AZE,-0.7264867958830364,-0.8013368235675717,-0.7280752081706573,-0.21917304191311,-0.3303014742745545,-0.3182024271489193
8,BIH,-0.7415110979083747,-0.5914566769983178,-0.5485936189541055,-0.2760969256958391,-0.5408859424740706,-0.5124627543800961
9,BGD,0.7019090794635775,0.4232824754738483,0.3886778394401726,-0.0289843799824765,0.4687005153365962,0.4505680660073841
10,BEL,-0.4189245936382115,-0.3690475517528965,-0.3326097698666366,-0.274737870898862,-0.555487523451523,-0.5331028080437457
11,BGR,-0.6685304798207111,-0.4943962984171258,-0.4449890297229489,-0.261726475321102,-0.6265812724412102,-0.5871304838361908
12,BHR,-1.33180958607777,-1.457967214112753,-1.4367264847424048,0.0347980408245339,-1.1085963806622467,-1.127349811975629
13,BEN,0.3954155694159516,0.4349609903704547,0.4319529321393144,-0.1550186438296271,0.1478604906181232,0.1421834274717824
14,BRN,-0.4301228096751069,-0.1857880644033811,-0.1003812971519955,0.2909169674156731,0.1026022709783165,0.108792050776546
15,BOL,-1.22705094539847,-1.0867432724168375,-0.9759348327983356,-0.0130730880693064,-0.7391461498540458,-0.7123589975397931
16,BRA,-0.4999857567360185,-0.3989432427225696,-0.2915291888442233,-0.0825793552646931,-0.3885792173456334,-0.3535863374189863
17,BTN,0.7945061982834409,0.0571357154607731,-0.0791511947970557,-0.006031320412349,0.6083221860181829,0.4155833609572363
18,BLR,0.0634961361065433,0.2671755013292865,0.37083858009053,-0.2542554989008454,-0.2906195410761141,-0.2418368730563161
19,BLZ,-0.1916785143139995,-0.1481056434702707,-0.1784982761535603,-0.2168673600376229,-0.196466537777997,-0.1919070765662043
20,CAN,-0.7378417535761662,-0.7694014934045315,-0.7904413199208113,-0.3164194999457548,-0.8526935921984385,-0.8616021947366753
21,CAF,1.0103514509117613,0.9837624266669764,0.8721182773281779,1.12166077808334,1.4826501340566778,1.29704268981193
22,CHE,0.4645951801823419,0.5711242577127402,0.6324750903349766,-0.2105519867223809,-0.1370404921690477,-0.0880637679903373
23,CHL,-0.4224557524805033,-0.1758260607577939,-0.0719433066741722,-0.2610915817186225,-0.3389297054404316,-0.2748210752016153
24,CMR,0.0654815226328611,0.2602604503320567,0.3370265377673676,-0.2021843591318182,-0.0792335473445899,-0.0731683194671607
25,CHN,-0.1674721357086671,-0.0615264629790384,-0.036655738332013,-0.220627926140032,-0.3252057308777741,-0.293087703221594
26,COL,-0.7769103678198223,-0.7850165512173253,-0.7802406679201118,-0.2377596268043959,-0.6889938114478583,-0.6784898443244394
27,CRI,-0.217856980917102,0.1277213304059931,0.2664549572552105,0.0646086819997319,0.067995297888115,0.1686659490000567
28,CUB,-0.5240391021824681,-0.524720305741059,-0.5435469457083993,-0.2493048604868223,-0.5181134639429277,-0.5145117706583835
29,CPV,-0.0897710225211548,-0.4001581842004386,-0.3386380331039052,-0.1359256606874677,-0.0845984066583425,-0.0926464334757636
30,CZE,-0.1748427678168817,0.1381963675115446,0.2338567078981399,-0.235779238727779,-0.2289173197983023,-0.1641503076129712
31,DEU,0.0636549057515519,0.3237551476950953,0.4023142979662322,-0.222650849252904,-0.1619088682477919,-0.0809617717063676
32,DJI,-1.073516630879375,-0.9424162886522388,-0.9017521703613636,-0.305612905620806,-0.7936383600575323,-0.7840474223099692
33,DNK,-0.3860328748387731,-0.0866124316845468,0.0073440976834052,-0.2736743892906801,-0.4698365760133592,-0.404532742644642
34,DZA,-0.5524196341546497,-0.3019319644341497,-0.2044438126087774,-0.12433911468892,-0.3466978380010665,-0.287459546655621
35,ECU,-0.2131558236899057,-0.1034264888876054,-0.0060238035601331,0.1061966569972879,-0.0328873835748275,0.0220234255548051
36,EST,0.1759857871826125,0.4631610017228729,0.5692652629586858,-0.1693158937077063,0.1065069661978956,0.1893595214721604
37,ERI,-0.1623344919185471,0.0403482300305858,-0.1401283644204003,-0.2348980446640887,-0.3442799221111214,-0.3985315571109574
38,ESP,-0.440244800409085,-0.4616129235648211,-0.414646398431461,-0.2534555208680285,-0.4631693994709109,-0.4510770463592558
39,ETH,-0.2138648780958223,-0.150217763848892,-0.231962532383999,-0.2457927479606545,-0.4153498650897166,-0.4510749323153186
40,FIN,0.1756990914935424,0.4279785838934098,0.5024595450480156,-0.2239682838038489,-0.1043439778007279,-0.0454791050335278
41,FJI,-0.9739131062877898,-1.324377449075596,-1.418632715604383,-0.3225723900883073,-1.0892929317415605,-1.15448289734109
42,FRA,0.333800934005525,0.5318078066650664,0.6101667075628123,-0.1459960571959001,0.0787101937086973,0.1501684833495823
43,GAB,-0.5243390714665832,-0.2635444445951233,-0.1793785407759319,-0.2333063076084436,-0.4208441080411672,-0.3519493866397451
44,GEO,-0.6351629327112593,-0.2940518871600427,-0.1947702006893414,-0.2681124543473725,-0.4900266409940547,-0.4122332204912787
45,GHA,0.5735125393085596,0.4082622616269502,0.3685266277074538,-0.1322242173818676,0.3781731892958724,0.3698241310749556
46,GMB,-1.178644684986957,-0.9552072092357504,-0.9012674040050312,-0.3405497225844813,-0.9947318829866784,-0.9698275473741818
47,GRC,-0.6991496383837766,-0.7543395743689189,-0.6991079111597067,-0.3320861141087154,-0.9756552468131916,-0.9557772746609288
48,GTM,-0.7238481207032962,-0.4984481091365586,-0.4499204445410147,-0.2543754270042843,-0.4253728451741579,-0.3762453033494407
49,GUY,-0.8745264382918413,-0.8160721309105815,-0.8017633054679856,-0.3282538403908779,-0.8413229272646412,-0.8051196516147158
50,HND,-0.6443668073940071,-0.3489892948228025,-0.2801219612908495,0.2801282780060972,-0.0336036176043474,0.0208329507638491
51,HRV,-0.1611359523019881,0.0375598272160367,0.1260592199908492,-0.2098768712429127,-0.150930653859754,-0.1041149666092505
52,HTI,-1.239433468770348,-1.0242145630485815,-0.9306278368883752,-0.3312689604328353,-0.927574076860222,-0.8879892097635841
53,HUN,-0.3534743094885335,-0.0800156511690335,0.00287943040021,-0.2493562728406382,-0.345814930583154,-0.2829926455566986
54,IDN,-0.2431839240698293,0.1456957245829542,0.3643687006554054,5.332854024535899,2.0192114371105725,2.002235506829169
55,IRL,-0.4941293069915013,-0.5345212639551666,-0.607952186848659,-0.2954660580419837,-0.6936015932463927,-0.7310441341944413
56,ISR,-0.8181090307867128,-0.9700706885074196,-0.981453111393531,-0.2208977635312763,-0.8429751936459878,-0.8848476441772408
57,IND,1.516740765740224,1.116070022587646,1.0603164352637726,0.1013521226855466,1.2031144866102494,1.12716455946118
58,IRQ,-1.2612927796899025,-1.2938178126701407,-1.2613722855315683,-0.0669283569613332,-0.9799673601008844,-0.9643990240480618
59,IRN,-0.6313119847868857,-0.6369913590567282,-0.5888993789068357,-0.1071355944612474,-0.3870957186535723,-0.373929702333832
60,ISL,-1.140225229747465,-1.005624484942156,-0.9302498636380871,-0.3040480515835364,-0.7981817295274588,-0.7646200408072775
61,ITA,-0.2096403982758211,0.0019533058176,0.0665627424011332,-0.2459957059415431,-0.3363427927717318,-0.2776866656705744
62,JAM,-0.0766522414353769,0.2229806220907148,0.1783932923856633,-0.2243381940376393,-0.1710585425874954,-0.1316145970672496
63,JOR,-0.2188998431926108,-0.1205810145022227,-0.0827976871721245,-0.1220208468912275,-0.2309712561381596,-0.2187243509216796
64,JPN,0.1558694044211933,0.1494243309028995,0.1963844957209211,-0.0620957507153205,0.5205408638707679,0.5437246545281333
65,KEN,0.4301962281706115,0.2765816937820309,0.2077449327852702,-0.0327835778459807,0.5964220169237621,0.5601588181488972
66,KHM,0.1740223406980445,0.251918814939954,0.294602332409916,-0.1640919535984396,-0.0634041960430235,-0.0622898580874925
67,PRK,0.3370419006748895,0.614845176896075,0.6683192214719438,-0.0762614449929515,0.4354803834783199,0.494779243197815
68,KOR,-0.2840702655045318,0.063216184018973,0.1600079253986777,-0.1172890303447111,0.1213744776714926,0.1912161911307894
69,KAZ,-0.6364832620027269,-0.8146554885412023,-0.837057811894601,-0.2676689493253584,-0.6039046391990432,-0.5858301729425753
70,LBN,-0.5923555299956489,-0.4119497630580631,-0.3327102083105782,-0.0817025929750664,-0.4248617280455071,-0.3776325611935485
71,LKA,0.0697383332199108,-0.083918687295605,-0.0533728470179657,-0.1170491695076459,-0.1739718898390899,-0.1955356763922856
72,LBR,-0.8296042596097716,-0.6038767511678976,-0.5374759799469884,-0.2934766864032476,-0.6756901291099306,-0.6361488859265101
73,LTU,0.1308150715111803,0.3170405782700094,0.4074605742300517,-0.1971932256268026,0.0340160202245376,0.0971260144836537
74,LBY,-0.8232154769328162,-0.8717807100473666,-0.8445779244901095,-0.0455433210322568,-0.6695277383908401,-0.6650097263968552
75,MAR,-0.2936112617321403,-0.0913371031597096,-0.0182074287440465,-0.1981780540884497,-0.269320989812246,-0.2216740149704607
76,MDA,-0.188782587928833,-0.0855367686067809,-0.0162896501254041,-0.2193561958503888,-0.2219612351783159,-0.1691547092749451
77,MDG,0.2219783193905786,0.4200517735292663,0.5181685971179802,-0.2610156879938825,-0.3186540193438239,-0.2944289576184593
78,MKD,-0.8598282127821695,-0.7496903620758962,-0.6750572474637059,-0.2676547933103349,-0.5438646678860315,-0.5167255033754522
79,MLI,-0.4699611681983133,-0.1519387399272439,-0.1153825185440787,-0.2353926485895983,-0.3294698932937679,-0.3071781932699263
80,MMR,0.3133516829352917,0.3957461070721098,0.3430435871335179,-0.180833758817171,-0.2491916788901983,-0.2929709886534822
81,MNG,0.0824014401578474,0.1058393667296464,0.0320951598418222,-0.168447900152443,-0.0305296070973357,-0.0610423641433648
82,MDV,-0.0721672465582353,0.0180327444096629,0.1443885219232418,-0.1616073885868248,-0.0266244062551306,-0.0355120049942479
83,MWI,-0.028405273632882,0.2708315725800714,0.3637672990926588,-0.1293846411395552,0.426537565500778,0.4631628678795803
84,MEX,-1.1010428507501966,-1.1850177675672535,-1.1842211552888713,-0.3269446277726068,-1.0307916525961536,-1.0525446130872962
85,MYS,1.2131386105219335,1.3308771164089657,1.3759536853581382,0.759635347231949,1.1720877822215443,1.1554837418931636
86,MOZ,-0.2868913842121579,0.0799723846049359,0.16681670334012,-0.2306093733003782,-0.2423036762697698,-0.1592256119039528
87,NER,-0.1623592838482637,-0.3008227103086301,-0.2917388649069361,-0.1590627153533312,-0.1543065774041008,-0.1937886001489914
88,NGA,0.3908346750388624,0.2475485056861641,0.2212219008481185,-0.1484498288588263,0.1113007815523295,0.0647234228562994
89,NIC,-0.5831196307168384,-0.3722813264205529,-0.314343052804211,-0.2504130377923891,-0.4959549615530065,-0.4276477557403387
90,NLD,0.1238598853891438,0.3743635076310297,0.4427518702383327,-0.2202230996645919,-0.1303628537567652,-0.0575877070228565
91,NOR,0.0026244660619744,0.1069833126516907,0.1290625647850179,-0.1400213020555313,-0.133950535697638,-0.0995986495225132
92,NPL,0.2651265016135302,0.1370062962842889,0.1533464180972175,-0.0805971294661281,0.2793281310699386,0.2675232136199393
93,NZL,-0.4061699385157349,-0.2091660017200901,-0.2025822518919745,-0.266413362115569,-0.4716130810013227,-0.4589479540959532
94,OMN,0.5742351129737696,0.7366489520799856,0.6685884557528108,-0.1174773588372162,0.2351861918260289,0.2774922057932305
95,PAN,-0.3344333321912742,-0.1215120774004804,-0.0673128079124069,0.1482844974383743,-0.1265965315595831,-0.0974855120268212
96,PER,-0.7425451297686758,-0.5368983654554613,-0.4509138124163279,-0.2665240392460616,-0.4738169675492643,-0.437603121135388
97,PNG,-1.7824395870335008,-1.4861047428471954,-1.6026812577461378,-0.2082662576732225,-0.9051041758222084,-0.8741668530477372
98,PHL,1.075873418303954,1.0594338518796536,1.0060381583976812,0.5112490096334737,1.4742449307422616,1.5213060665995244
99,PAK,0.571610517141621,0.2362577379927134,0.1118435995382176,0.169904010619617,0.9467479608498948,0.9011379599500104
100,POL,-0.3825512376652495,-0.1289041630275658,-0.006707383756866,-0.2696754113545067,-0.4213555552869792,-0.3545357082412016
101,PRT,-0.3842046768298965,-0.214147059241963,-0.1524207661286514,-0.275944749767,-0.4703592077156966,-0.4094709020502656
102,QAT,-0.4957182539432918,-0.8527040422169876,-0.8648345573285994,-0.1062400400572049,-0.6554415120244976,-0.6943029730620041
103,ROU,-0.7541113499707474,-0.4802333132269015,-0.3703176811872728,-0.3076274224090254,-0.6599472274869175,-0.5978729408809982
104,RUS,-0.1638258669326066,-0.0205276497251676,0.1031156910300847,-0.2049266449166986,-0.1115905091298721,-0.0440255791768413
105,SAU,-0.6350203286301526,-0.8054693652476677,-0.8122478184576013,0.2256446100514245,-0.4267255242260583,-0.3957973197109245
106,SDN,-1.0810938088138502,-0.975413182281823,-0.8416381278795827,0.323810098883899,-0.7337845326330819,-0.7214314341897412
107,SWE,-0.5568511797303187,-0.3943783480285154,-0.3222023564700126,-0.2840459239011902,-0.5819107260276782,-0.5395649487683957
108,SVN,-0.2733524568102614,-0.05905216408872,0.0251125540820926,-0.2214488198513389,-0.2267388975277409,-0.1660721275899297
109,SEN,0.9266501446864904,1.0921263636359204,1.1056822634091688,-0.1447409152595526,0.3874053940033057,0.4525075764610782
110,SOM,0.0245792816307868,-0.1242106373328025,-0.2031388209892538,-0.2042795040575944,-0.2838660740226458,-0.3434709514591009
111,SUR,-0.8298654242781448,-0.6293029995239838,-0.4834778852579215,-0.2094784255935176,-0.3617001640807086,-0.3320781135700977
112,SYR,-0.7343563691963627,-0.7959329792136993,-0.7529638814752246,-0.1956729073131566,-0.749995381429353,-0.7504234501914495
113,SWZ,0.0536993378198568,0.572652003196975,0.7655366823934995,-0.1659557228205584,0.1890786536106322,0.2986869775722551
114,THA,0.6403332511305556,0.9387427819542452,1.0163364307147198,0.0361695007687727,0.4607139250721888,0.5135902611827283
115,TJK,-1.4099298493317671,-1.3237777887916884,-1.1618101703776045,-0.2442588950360666,-0.8865489110240096,-0.858853054161771
116,TUN,0.0537648285063136,-0.1372984160187402,-0.1098832172463294,-0.1811996055020038,-0.1049688184436567,-0.1224494941727141
117,TUR,-0.364459845372266,-0.4230318511270221,-0.3532512526747519,-0.2351122901755515,-0.4536492725552914,-0.4432221844078867
118,TZA,0.0890930447826095,0.0537758730098616,0.0656364926099029,-0.1020418671968044,0.155469806434297,0.1466247324576281
119,UKR,-0.576298638398426,-0.5270632041595714,-0.4743214796990125,-0.2690892692152773,-0.4911379949911498,-0.4783926544356139
120,UGA,0.3515347058569236,0.6561053501823787,0.7757633017920506,-0.1628041126420314,0.3452276527691627,0.3963393816252524
121,GBR,-0.6596519970801172,-0.7537035637059067,-0.8431402786524822,-0.298489477515272,-0.8417980790026837,-0.8948368310214028
122,USA,-0.979206415557901,-1.1405826245153032,-1.1687218686432863,-0.3212672473619627,-0.9682396631278024,-1.0056742963148817
123,URY,-0.631761636893059,-0.4646610302528067,-0.385929287514981,-0.2989974410070858,-0.6718138722670474,-0.6150651282551723
124,VEN,-0.1932387197317056,-0.1140909957616784,-0.0402801639433671,-0.1295545379178697,-0.1906665249460014,-0.1321454805627678
125,VNM,0.2338343721056046,0.5612917043382817,0.6560961853389803,-0.0627211868407714,0.2320762985625784,0.2952931256550032
126,YEM,-0.7248582738265891,-0.6079577218829706,-0.5126799480039074,-0.0898759624512572,-0.4412309638286272,-0.4585075468660526
127,ZAF,-0.0192360653024504,0.0685935605953864,0.1215759461485096,-0.1739552662117057,-0.0457935705687461,-0.0072954728989377
128,ZMB,-0.7617070960309178,-0.5387555390565584,-0.4267281973027167,-0.2709692534434014,-0.3823276895260574,-0.3188082844385138
129,ZWE,-0.1044027506259448,-0.0187240390328078,-0.0141844990436274,-0.1862976877970567,0.0187073470184151,0.0321463166416981

